sku	product_type	categories	name	description	short_description	weight	price	url_key	meta_title	meta_keywords	meta_description	qty
883049383842	simple	Default Category	 Sparkling Beverage Maker	 Sparkling Beverage Maker		1	249.99	Sparkling-Beverage-Maker	 Sparkling Beverage Maker	 Sparkling Beverage Maker	 Sparkling Beverage Maker	100
898157000420	simple	Default Category	Zeal Silicone Oven Glove Large Gingham	Zeal Silicone Oven Glove Large Gingham		1	18.99	Zeal-Silicone-Oven-Glove-Large-Gingham	Zeal Silicone Oven Glove Large Gingham	Zeal Silicone Oven Glove Large Gingham	Zeal Silicone Oven Glove Large Gingham	100
898157000864	simple	Default Category	Zeal Silicone Double Oven Glove Gingham 	Zeal Silicone Double Oven Glove Gingham 		1	31.00	Zeal-Silicone-Double-Oven-Glove-Gingham	Zeal Silicone Double Oven Glove Gingham 	Zeal Silicone Double Oven Glove Gingham 	Zeal Silicone Double Oven Glove Gingham 	100
898655000212	simple	Default Category	Tillen Farms Bada Bing Cherries  	Tillen Farms Bada Bing Cherries  		2	8.99	Tillen-Farms-Bada-Bing-Cherries	Tillen Farms Bada Bing Cherries  	Tillen Farms Bada Bing Cherries  	Tillen Farms Bada Bing Cherries  	100
9002377007027	simple	Default Category	iSi 10-Pack Disposable N20 Creamer Charger Cartridges 	iSi 10-Pack Disposable N20 Creamer Charger Cartridges 		1	11.50	iSi-10-Pack-Disposable-N20-Creamer-Charger-Cartridges	iSi 10-Pack Disposable N20 Creamer Charger Cartridges 	iSi 10-Pack Disposable N20 Creamer Charger Cartridges 	iSi 10-Pack Disposable N20 Creamer Charger Cartridges 	100
934134	simple	Default Category	Fine 9" Honing Steel 	Fine 9" Honing Steel 		1	19.99	Fine-9-Honing-Steel	Fine 9" Honing Steel 	Fine 9" Honing Steel 	Fine 9" Honing Steel 	100
934165	simple	Default Category	HONING STEEL-REGULAR 9in	HONING STEEL-REGULAR 9in		1	19.99	HONING-STEEL-REGULAR-9in	HONING STEEL-REGULAR 9in	HONING STEEL-REGULAR 9in	HONING STEEL-REGULAR 9in	100
935148	simple	Default Category	Regular 12" Honing Steel 	Regular 12" Honing Steel 		1	49.99	Regular-12-Honing-Steel	Regular 12" Honing Steel 	Regular 12" Honing Steel 	Regular 12" Honing Steel 	100
93705	simple	Default Category	12/11/21 - Italian Cookie Swap Baking Class - ENCORE	12/11/21 - Italian Cookie Swap Baking Class - ENCORE		1	75.00	12/11/21-Italian-Cookie-Swap-Baking-Class-ENCORE	12/11/21 - Italian Cookie Swap Baking Class - ENCORE	12/11/21 - Italian Cookie Swap Baking Class - ENCORE	12/11/21 - Italian Cookie Swap Baking Class - ENCORE	100
9780061658198	simple	Default Category	Pioneer Woman Cooks	Pioneer Woman Cooks		1	27.50	Pioneer-Woman-Cooks	Pioneer Woman Cooks	Pioneer Woman Cooks	Pioneer Woman Cooks	100
JURAE8	simple	Default Category	Jura E8 Fully Automatic Espresso & Coffee Machine	Jura E8 Fully Automatic Espresso & Coffee Machine		25	2700.00	Jura-E8-Fully-Automatic-Espresso-Coffee-Machine	Jura E8 Fully Automatic Espresso & Coffee Machine	Jura E8 Fully Automatic Espresso & Coffee Machine	Jura E8 Fully Automatic Espresso & Coffee Machine	100
JURAE8CHROME	simple	Default Category	Jura E8 Fully Automatic Espresso & Coffee Machine - Chrome	Jura E8 Fully Automatic Espresso & Coffee Machine - Chrome		25	2800.00	Jura-E8-Fully-Automatic-Espresso-Coffee-Machine-Chrome	Jura E8 Fully Automatic Espresso & Coffee Machine - Chrome	Jura E8 Fully Automatic Espresso & Coffee Machine - Chrome	Jura E8 Fully Automatic Espresso & Coffee Machine - Chrome	100
SSP14105	simple	Default Category	Le Creuset 5-Piece Stainless Steel Cookware Set	Le Creuset 5-Piece Stainless Steel Cookware Set		15	0.00	Le-Creuset-5-Piece-Stainless-Steel-Cookware-Set	Le Creuset 5-Piece Stainless Steel Cookware Set	Le Creuset 5-Piece Stainless Steel Cookware Set	Le Creuset 5-Piece Stainless Steel Cookware Set	100
